鄉鎮市區碼(新),醫院家數,病床總計,一般病床小計,特殊病床小計,精神病床小計,急性病床小計,慢性病床小計,急性一般病床,精神急性一般病床,慢性一般病床,精神慢性一般病床,慢性結核病床, 漢生病病床,國際醫療病床,加護病床,燒傷病床,燒傷加護病床,嬰兒病床,急診觀察病床,其他,安寧病床,慢性呼吸照護病床,亞急性呼吸照護病床,急性結核病床,精神科加護病床,普通隔離病床,正壓隔離病床,負壓隔離病床,骨髓移植病床,性侵害犯罪加害人強制治療病床,手術恢復床,嬰兒床,血液透析床,腹膜透析床,產科病床
0101,5,1325,695,477,153,745,103,695,50,0,103,0,0,0,56,0,0,33,65,0,0,84,0,0,0,0,0,12,0,0,15,70,142,0,0
0102,5,1441,1064,377,0,1064,0,1064,0,0,0,0,0,0,62,0,4,23,63,0,0,37,0,0,0,0,0,2,0,0,19,52,115,0,0
0109,1,3212,1849,823,540,2256,133,1849,407,0,133,0,0,0,157,0,0,35,111,11,11,186,33,0,12,5,0,32,0,0,27,50,153,0,0
0110,4,1258,792,466,0,772,20,772,0,20,0,0,0,0,100,0,8,55,39,0,0,90,10,0,0,20,9,4,0,0,12,71,48,0,0
0111,3,2115,1433,564,118,1551,0,1433,118,0,0,0,0,0,118,8,3,46,48,2,15,82,24,0,0,0,1,18,2,0,40,51,106,0,0
0112,1,35,30,5,0,30,0,30,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0115,1,918,559,334,25,584,0,559,25,0,0,0,0,0,74,0,3,25,61,0,0,0,0,0,0,0,0,2,0,0,15,49,105,0,0
0116,6,5098,3442,948,708,3866,284,3375,491,67,217,0,0,0,325,10,6,41,97,6,36,32,28,0,0,90,33,24,11,0,54,39,116,0,0
0117,2,852,520,307,25,545,0,520,25,0,0,0,0,0,59,0,0,17,32,0,20,72,15,0,0,0,0,4,0,0,13,15,60,0,0
0118,4,2703,1854,781,68,1922,0,1854,68,0,0,0,0,0,260,10,4,48,122,0,17,0,15,0,0,96,0,51,14,0,54,20,70,0,0
0119,4,456,250,206,0,171,79,171,0,79,0,0,0,0,14,0,0,0,10,2,0,30,0,0,0,0,0,0,0,0,4,16,130,0,0
0120,2,844,542,264,38,580,0,542,38,0,0,0,0,0,46,4,0,10,29,6,10,60,10,0,0,0,0,12,0,0,8,15,54,0,0
0301,11,1154,724,404,26,705,45,679,26,45,0,0,0,0,49,4,0,10,31,2,0,122,15,0,0,0,0,0,0,0,10,45,116,0,0
0302,2,162,106,56,0,76,30,76,0,30,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,45,0,0
0303,3,407,233,75,99,269,63,233,36,0,63,0,0,0,35,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,3,5,22,1,0
0304,2,450,0,0,450,80,370,0,80,0,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0305,1,1164,807,307,50,795,62,745,50,62,0,0,0,0,87,0,0,16,34,0,10,40,10,0,0,0,0,0,0,0,12,20,78,0,0
0306,3,1490,852,458,180,832,200,752,80,100,100,0,0,0,90,0,10,20,31,10,0,140,20,0,0,0,0,0,0,0,6,20,111,0,0
0309,1,1036,806,180,50,496,360,446,50,360,0,0,0,0,52,0,0,5,22,4,18,0,10,0,0,0,0,1,0,0,10,6,52,0,0
0310,2,260,157,103,0,157,0,157,0,0,0,0,0,0,12,0,0,0,7,0,0,58,0,0,0,0,0,0,0,0,3,0,23,0,0
0312,1,248,0,0,248,40,208,0,40,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0315,1,99,44,55,0,44,0,44,0,0,0,0,0,0,0,0,0,0,1,0,0,40,0,0,0,0,0,0,0,0,1,0,13,0,0
0318,3,191,96,95,0,96,0,96,0,0,0,0,0,0,0,0,0,0,8,0,0,55,0,0,0,0,0,0,0,0,2,0,30,0,0
0319,3,1070,643,151,276,769,150,643,126,0,150,0,0,0,47,4,0,7,23,0,0,0,0,0,0,0,0,0,0,0,8,15,47,0,0
0320,3,736,524,212,0,524,0,524,0,0,0,0,0,0,40,0,0,10,26,4,0,30,10,0,0,0,0,4,0,0,11,12,65,0,0
0322,3,512,339,173,0,339,0,339,0,0,0,0,0,0,33,0,0,9,10,8,0,63,0,0,0,0,0,1,0,0,5,15,29,0,0
0323,3,259,114,145,0,114,0,114,0,0,0,0,0,0,0,0,0,16,3,0,0,20,0,0,0,0,0,0,0,0,2,38,66,0,0
